Time,Speed_des,Speed,Duty_Cycle,Position
41.87,1.0,1.61,3.33,-3.56
41.97,1.0,1.6,3.33,-3.56
42.06,1.0,1.62,3.33,-3.56
42.16,1.0,1.34,3.33,-3.56
42.26,1.0,1.35,3.33,-3.56
42.36,1.0,1.36,3.33,-3.56
42.46,1.0,1.36,3.33,-3.56
42.56,1.0,1.03,3.33,-3.56
42.66,1.0,1.06,3.33,-3.58
42.76,1.0,1.07,3.33,-3.58
42.85,1.0,1.08,3.33,-3.58
42.95,1.0,1.07,3.33,-3.58
43.05,1.0,1.06,3.33,-3.58
43.15,1.0,1.08,3.33,-3.56
43.25,1.0,1.07,3.33,-3.58
43.35,1.0,1.06,3.33,-3.58
43.45,1.0,1.03,3.33,-3.56
43.54,1.0,1.06,3.33,-3.58
43.64,1.0,1.03,3.33,-3.56
43.74,1.0,1.0,3.33,-3.56
43.84,1.0,1.02,3.33,-3.53
43.94,1.0,1.01,3.33,-3.53
44.04,1.0,1.0,3.33,-3.56
44.14,1.0,1.0,3.33,-3.56
44.24,1.0,1.0,3.33,-3.56
44.33,1.0,1.0,3.33,-3.53
44.43,1.0,1.02,3.33,-3.56
44.53,1.0,1.0,3.33,-3.56
44.63,1.0,1.0,3.33,-3.53
44.73,1.0,1.02,3.33,-3.56
44.83,1.0,1.0,3.33,-3.56
44.93,1.0,1.02,3.33,-3.56
45.02,1.0,1.01,3.33,-3.53
45.12,1.0,1.01,3.33,-3.56
45.22,1.0,1.01,3.33,-3.56
45.32,1.0,1.01,3.33,-3.53
45.42,1.0,0.99,3.33,-3.56
45.52,1.0,1.0,3.33,-3.56
45.61,1.0,1.0,3.33,-3.56
45.71,1.0,1.16,3.33,-3.53
45.81,1.0,1.17,3.33,-3.53
45.91,1.0,1.17,3.33,-3.56
46.01,1.0,1.19,3.33,-3.56
46.11,1.0,1.18,3.33,-3.56
46.21,1.0,1.18,3.33,-3.53
46.3,1.0,1.18,3.33,-3.53
46.4,1.0,1.18,3.33,-3.56
46.5,1.0,1.17,3.33,-3.58
46.6,1.0,1.17,3.33,-3.53
46.7,1.0,1.01,3.33,-3.56
46.8,1.0,1.0,3.33,-3.53
46.9,1.0,1.0,3.33,-3.56
47.0,1.0,0.99,3.33,-3.51
47.09,1.0,1.0,3.33,-3.53
47.19,1.0,0.99,3.33,-3.51
47.29,1.0,0.99,3.33,-3.48
47.39,1.0,0.99,3.33,-3.48
47.49,1.0,1.0,3.33,-3.48
47.59,1.0,1.02,3.33,-3.46
47.69,1.0,1.01,3.33,-3.48
47.78,1.0,1.01,3.33,-3.48
47.88,1.0,1.01,3.33,-3.51
47.98,1.0,1.02,3.33,-3.51
48.08,1.0,1.01,3.33,-3.53
48.18,1.0,1.03,3.33,-3.51
48.28,1.0,1.04,3.33,-3.53
48.38,1.0,1.04,3.33,-3.53
48.47,1.0,1.05,3.33,-3.56
48.57,1.0,1.04,3.33,-3.53
48.67,1.0,1.04,3.33,-3.56
48.77,1.0,1.05,3.33,-3.56
48.87,1.0,1.04,3.33,-3.56
48.97,1.0,1.04,3.33,-3.56
49.06,1.0,1.03,3.33,-3.53
49.16,1.0,1.03,3.33,-3.56
49.26,1.0,1.03,3.33,-3.56
49.36,1.0,1.03,3.33,-3.56
49.46,1.0,1.02,3.33,-3.53
49.56,1.0,1.02,3.33,-3.56
49.66,1.0,1.02,3.33,-3.53
49.76,1.0,1.02,3.33,-3.56
49.85,1.0,1.02,3.33,-3.53
49.95,1.0,1.03,3.33,-3.56
50.05,1.0,1.05,3.33,-3.56
50.15,1.0,1.03,3.33,-3.53
50.25,1.0,1.04,3.33,-3.56
50.35,1.0,1.03,3.33,-3.56
50.45,1.0,1.05,3.33,-3.56
50.54,1.0,1.04,3.33,-3.53
50.64,1.0,1.05,3.33,-3.56
50.74,1.0,1.04,3.33,-3.53
50.84,1.0,1.04,3.33,-3.53
50.94,1.0,1.02,3.33,-3.56
51.04,1.0,1.01,3.33,-3.56
51.14,1.0,1.0,3.33,-3.53
51.24,1.0,1.0,3.33,-3.53
51.33,1.0,1.01,3.33,-3.56
51.43,1.0,0.99,3.33,-3.56
51.53,1.0,1.0,3.33,-3.56
51.63,1.0,0.98,3.33,-3.53
51.73,1.0,1.0,3.33,-3.56
51.83,1.0,1.0,3.33,-3.53
51.93,1.0,1.03,3.33,-3.53
52.02,1.0,1.02,3.33,-3.56
52.12,1.0,1.04,3.33,-3.53
52.22,1.0,1.02,3.33,-3.56
52.32,1.0,1.05,3.33,-3.56
52.42,1.0,1.03,3.33,-3.53
52.52,1.0,1.11,3.33,-3.56
52.62,1.0,1.13,3.33,-3.56
52.71,1.0,1.12,3.33,-3.53
52.81,1.0,1.12,3.33,-3.56
52.91,1.0,1.09,3.33,-3.56
53.01,1.0,1.1,3.33,-3.56
53.11,1.0,1.09,3.33,-3.53
53.21,1.0,1.08,3.33,-3.56
53.31,1.0,1.09,3.33,-3.56
53.4,1.0,1.09,3.33,-3.53
53.5,1.0,1.01,3.33,-3.56
53.6,1.0,1.01,3.33,-3.53
53.7,1.0,1.0,3.33,-3.56
53.8,1.0,1.01,3.33,-3.56
53.9,1.0,1.0,3.33,-3.56
54.0,1.0,1.01,3.33,-3.53
54.1,1.0,1.02,3.33,-3.53
54.19,1.0,1.03,3.33,-3.53
54.29,1.0,1.01,3.33,-3.53
54.39,1.0,1.01,3.33,-3.56
54.49,1.0,1.02,3.33,-3.53
54.59,1.0,1.01,3.33,-3.53
54.69,1.0,1.01,3.33,-3.56
54.79,1.0,1.02,3.33,-3.53
54.88,1.0,1.02,3.33,-3.56
54.98,1.0,1.01,3.33,-3.53
55.08,1.0,1.01,3.33,-3.56
55.18,1.0,1.01,3.33,-3.56
55.28,1.0,1.02,3.33,-3.56
55.38,1.0,1.02,3.33,-3.56
55.47,1.0,1.02,3.33,-3.56
55.57,1.0,1.03,3.33,-3.56
55.67,1.0,1.05,3.33,-3.53
55.77,1.0,1.05,3.33,-3.53
55.87,1.0,1.04,3.33,-3.56
55.97,1.0,1.05,3.33,-3.56
56.07,1.0,1.05,3.33,-3.56
56.17,1.0,1.05,3.33,-3.56
56.27,1.0,1.06,3.33,-3.53
